priority_rank,meta_id,date,interactions,shares,comments,utility_class,visual_character_observation,character_hypothesis,cell_relevance,recommended_action,confidence,notes,approval_status,approval_by,approval_date,approval_scope
95,1036844829507460_122127916017072582,2026-06-07,14,1,2,Format_Control,Spiritual-friends poster with generic illustrated figures.,Unidentified spiritual figures,Spirituality_Control,Keep_Reserve,Medium,No named character marker.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
98,1036844829507460_122134608507072582,2026-06-30,14,2,3,Character_Review,Duck/Ganso in a formal outfit being dressed.,Ganso visual candidate,Transformacion_Vestuario_Secundario,Analyze_Character_No_CNT,High,"Use as secondary-character evidence, not Universe transformation.",Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
99,1036844829507460_122130329817072582,2026-06-14,13,1,0,Character_Review,White sheet-like forest figure with dark glasses/eyes.,Fantasma visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Medium,Preserve candidate label; do not canonize from one image.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
101,1036844829507460_122127654273072582,2026-06-06,12,3,0,Format_Control,Landscape photograph with relationship text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
107,1036844829507460_122127931749072582,2026-06-07,11,0,0,Format_Control,Generic human in a fantasy sky scene with text.,Unknown human,Relatable_Control,Keep_Reserve,Medium,No recurring visual markers.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
108,1036844829507460_122128989885072582,2026-06-10,11,0,2,Character_Review,Cat with glasses and sexual/relational caption.,Universe visual candidate,Personaje_Marcador; Sexual_Control,Analyze_Character_No_CNT,High,Useful to separate visual identity from humor category.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
111,1036844829507460_122130226041072582,2026-06-13,11,0,1,Format_Control,Generic human portrait with abrasive caption.,Unknown human,Humor_Control,Keep_Reserve,High,No recurring character marker.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
120,1036844829507460_122134065975072582,2026-06-27,10,1,3,Character_Review,Bearded red-hatted gnome operating a keyboard in a magical room.,Wilfred visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,High,Strongest Wilfred candidate in the queue by visual confirmation.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
126,1036844829507460_122131071243072582,2026-06-16,9,0,0,Character_Review,Group scene around a campfire with several fantasy/generic figures and a cat.,Mixed roster candidate; identities unconfirmed,Roster_Group_Control,Analyze_Character_No_CNT,Medium,"Useful for roster continuity, not individual performance attribution.",Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
128,1036844829507460_122134055109072582,2026-06-27,9,0,1,Character_Review,Woman in witch/podcast setting; no confirmed canonical marker.,Unidentified magical woman,Personaje_Marcador_Candidate,Analyze_Character_No_CNT,Low,Do not map automatically to Elara.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
133,1036844829507460_122127189117072582,2026-06-05,8,1,0,Format_Control,Sky photograph with text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
137,1036844829507460_122132558535072582,2026-06-21,8,2,2,Format_Control,Real-person/TikTok meme with no recurring character.,Unknown real person,Platform_Reference_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
145,1036844829507460_122126302725072582,2026-06-03,7,0,0,Format_Control,Sky photograph with text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
149,1036844829507460_122130324285072582,2026-06-14,7,0,0,Character_Review,Cat with glasses emerging from a torn wall.,Universe visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Medium,Glasses support a candidate identity signal; no canon change.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
153,1036844829507460_122134337895072582,2026-06-29,7,0,1,Format_Control,Cloud composition with relationship text; no recurring character.,Unknown human,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
155,1036844829507460_122126239515072582,2026-06-03,6,0,1,Character_Review,Woman and cat in a fantasy/relational scene; identities unclear.,Unknown woman + cat,Relational_Character_Review,Analyze_Character_No_CNT,Low,Requires conservative labeling; no Kiri/Universe assignment.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
156,1036844829507460_122126660835072582,2026-06-04,6,1,0,Format_Control,Street/sky photograph with text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
161,1036844829507460_122130309663072582,2026-06-14,6,2,0,Character_Review,Bearded red-hatted forest gnome with text.,Wilfred visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Medium,Useful as a second Wilfred visual case.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
163,1036844829507460_122131046847072582,2026-06-16,6,0,0,Format_Control,Nature photograph with text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
169,1036844829507460_122129194233072582,2026-06-11,5,1,0,No_Visual_Evidence,Meta returned no full_picture for this post.,Unknown,Unknown,Keep_Reserve,High,Do not infer from caption alone.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
170,1036844829507460_122133424479072582,2026-06-24,5,1,0,Character_Review,Purple-haired clown-like figure in a relational caption.,Silvio visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Medium,Character evidence only; not a performance rule.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
174,1036844829507460_122126283465072582,2026-06-03,4,0,1,Character_Review,Dreamy fantasy woman/mermaid-like figure; no named marker.,Unidentified fantasy woman,Personaje_Marcador_Candidate,Keep_Reserve,Low,Not enough for Elara/Kiri assignment.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
177,1036844829507460_122130032151072582,2026-06-12,4,0,0,Character_Review,Bearded red-hatted gnome in a forest.,Wilfred visual candidate,Dialogue_Borderline,Analyze_Character_No_CNT,Medium,Already a borderline dialogue candidate; retain separately.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
179,1036844829507460_122133558903072582,2026-06-26,4,1,0,Character_Review,Cat with glasses in clouds.,Universe visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Low,Low performance but useful identity control.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
180,1036844829507460_122133971127072582,2026-06-26,4,0,0,Format_Control,Real-person backstage/megaphone image; no canon marker.,Unknown real person,Format_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
181,1036844829507460_122134060641072582,2026-06-27,4,1,1,Format_Control,Generic shirtless human in fantasy clouds.,Unknown human,Relational_Control,Keep_Reserve,High,No recurring marker.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
183,1036844829507460_122125883457072582,2026-06-02,3,1,0,Format_Control,Vehicle floating in clouds with text.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
184,1036844829507460_122126670549072582,2026-06-04,3,0,0,Character_Review,Bearded red-hatted gnome making a playlist.,Wilfred visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Low,"Character continuity, not a cell signal.",Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
185,1036844829507460_122127646659072582,2026-06-06,3,0,0,Format_Control,Real-person/nightlife photograph with text.,Unknown real people,Format_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
191,1036844829507460_122130404211072582,2026-06-15,3,0,0,Format_Control,Generic human in clouds with motivational text.,Unknown human,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
195,1036844829507460_122125895013072582,2026-06-02,2,0,0,Character_Review,White sheet-like forest figure.,Fantasma visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Low,Second Fantasma candidate; not enough for canon.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
205,1036844829507460_122125906797072582,2026-06-02,1,0,1,Format_Control,Generic human with headphones in clouds.,Unknown human,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
206,1036844829507460_122125918491072582,2026-06-02,1,1,0,Format_Control,Generic couple in a fantasy cloud scene.,Unknown couple,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
208,1036844829507460_122126267355072582,2026-06-03,1,0,0,Character_Review,Bearded red-hatted gnome in forest with text.,Wilfred visual candidate,Personaje_Marcador,Keep_Reserve,Low,Keep as low-performance identity reserve.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
210,1036844829507460_122126305443072582,2026-06-03,1,0,0,Format_Control,Generic couple in fantasy clouds.,Unknown couple,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
211,1036844829507460_122126663949072582,2026-06-04,1,0,0,Format_Control,Generic meditating human on a floating island.,Unknown human,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
212,1036844829507460_122127201219072582,2026-06-05,1,0,0,Format_Control,Generic relational/fantasy composition.,Unknown human pair,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
215,1036844829507460_122125569039072582,2026-06-01,0,0,0,Format_Control,Fantasy woman on rainbow with text.,Unidentified fantasy woman,Format_Control,Keep_Reserve,Medium,No recurring character marker.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
216,1036844829507460_122125894767072582,2026-06-02,0,0,0,Format_Control,Generic couple in cloud scene with caption.,Unknown couple,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
218,1036844829507460_122126265063072582,2026-06-03,0,0,0,Format_Control,Generic human with floating photos.,Unknown human,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
220,1036844829507460_122126653755072582,2026-06-04,0,0,0,Format_Control,Generic human with heart/relationship scene.,Unknown human,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
221,1036844829507460_122127191541072582,2026-06-05,0,0,0,Format_Control,Dreamy fantasy woman/mermaid-like figure.,Unidentified fantasy woman,Format_Control,Keep_Reserve,Low,No named character marker.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
223,1036844829507460_122127216273072582,2026-06-05,0,0,0,Format_Control,Generic human reclining on cloud with relationship silhouettes.,Unknown human,Relational_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
229,1036844829507460_122127951885072582,2026-06-07,0,0,0,Cell_Candidate,Four-panel dialogue/sequence with recurring human figures and speech bubbles.,Unknown human pair,Microhistoria_Estricta_Candidate,Cell_Candidate_Review,High,Potential second strict microhistory; detailed original review required before counting.,Pending_Cell_Validation,,,Validation protocol required before comparable-cell denominator
230,1036844829507460_122129227551072582,2026-06-11,0,0,0,Format_Control,Real-person selfie with music/AI-art hashtags.,Unknown real person,Format_Control,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
