ID_Pieza,Titulo,Estado_Raw,Estado_Operacion_Propuesto,Canon_Raw,Estado_Canon_Propuesto,Fecha_Ultima_Publicacion_Raw,Fuente_Raw,Asset_Ref,Reconciliacion,Decision_Requerida
CNT-014,Chico de los Pantalones — contenido,Idea,Idea,No (pero ficha visual aún no aprobada),Canon_Review_Required,No publicado,Canon — Personajes/Chico de los Pantalones,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-015,Fantasma — contenido contemplativo,Idea,Idea,Sí — Fantasma no puede intervenir activamente,Canon_Constrained,No publicado,Canon — Personajes/Fantasma,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-016,Filosofía — Principios como contenido (Principio 0 al 8),Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Canon — 03 Filosofía,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-017,El Bosque — contenido ambiental,Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Canon — Lugares/El Bosque,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-018,Mar de Nubes — contenido contemplativo,Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Canon — Lugares/Mar de Nubes,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-019,La Plaza del Mercado — contenido de interacción,Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Canon — Lugares/La Plaza del Mercado,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-020,Jardines Eternos — contenido visual,Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Canon — Lugares/Jardines Eternos,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-021,Behind the scenes — pipeline de producción IA,Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Perfil del usuario (AI filmmaking),,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-022,Cosmogonía — contenido narrativo visual,Idea,Idea,"Parcial — Capas 2, 4, 5 pendientes",Canon_Partial,No publicado,Canon — 04 Cosmogonía,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-023,Sección recurrente '¿Qué me llegó?' (formato afiliación),Pendiente de producción (episodio 1 = CNT-002),Production_Pending,No,Canon_Clear_or_Unverified,No publicado,08_Production/Reels/Reel_002.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-024,Frase del día — personaje + principio filosófico,Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Analytics (Fotos dominan con 1.36M vistas),,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-025,"Experimentos Growth OS — tests A/B de tono, formato, personaje",Pendiente de aprobación,Pending_Approval,Sí — requiere aprobación Fernando,Canon_Review_Required,No publicado,GrowthOS/Integracion_Growth_OS.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-026,Banco de memes fin de semana 16-17 de agosto (5 piezas),Draft - propuestas listas pendientes de aprobacion,Draft_Pending_Approval,No,Canon_Clear_or_Unverified,No publicado,Operations/Production/CNT026_Memes_FinDeSemana_16_17_Ago.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-027,Meme Fantasma - Ghosting eterno (propuesta desde Drive Ideas-Memes),Draft - propuesta con score 9.10/10 PASS (scripts/score_proposal.py) - pendiente aprobación de Fernando,Draft_Pending_Approval,No - capta libre; arco del Fantasma no se resuelve,Canon_Review_Required,,Drive: Universe Sent Me > Ideas > Memes (1Aav6tyHJPwpUPHox7Dh3upttKhkuC0Kj),,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-028,Banco de 5 memes adaptados de Drive - frase intacta + marca UniverseSentMe,Draft v2 - 5 imagenes regeneradas con rasgos canonicos (assets oficiales) - pendiente aprobacion de Fernando; M2 (Kael+Maeve) pendiente de validacion visual,Draft_Pending_Approval,No - capa 1 libre; M2 usa pareja Kael+Maeve ya canon,Canon_Review_Required,,Drive: Universe Sent Me > Ideas > Memes (1Aav6tyHJPwpUPHox7Dh3upttKhkuC0Kj),,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
