Fecha,Día,Hora,Archivo,Estado,Contexto_Nota,Caption_Propuesto,Tipo_Copy,Experiment_ID,Asset_Estado_Operativo
2026-08-26,Miércoles,11:00,2608065 - Fantasma - Pedazo de socrates.jpeg,Programado,Existencial/ácido; media mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación.,👻🏛️😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-26,Miércoles,16:00,2608058 - Silvio - Tiene que dar tranquilidad.jpeg,Programado,Ansiedad/contraste humorístico; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🤡😰😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-26,Miércoles,19:00,2608044 - Silvio - Sabra dios cuantos ligues.jpeg,Programado,Humor sobre ligues; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🤡💘😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-27,Domingo,11:00,2608042 - Maeve+kael - Te quiero besiquiar.jpeg,Programado,Romance afectivo; domingo noche. Asignación visual propuesta; requiere aprobación antes de producción/programación Reubicado desde 2026-08-23 19:00 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,💋💞😳,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-27,Jueves,16:00,2608064 - Universe - Quieren hacer pendejo al que nacio asi.jpeg,Programado,Lenguaje fuerte/ácido; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,😼🤨😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-27,Jueves,19:00,2608055 - Kiri - Parezco normal.jpeg,Programado,Ansiedad nocturna; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🌙😱🏃,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-28,Viernes,13:30,2608059 - Kael - Si la vida te da limones.jpeg,Programado,Doble sentido sexual; aprobado por Fernando para viernes por la tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🍋😏😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-29,Lunes,10:00,2608045 - Kiri+Evan - No te voy a mentir.jpeg,Programado,Romance sugerente; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación Reubicado desde 2026-08-24 19:00 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,😳💭💋,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-29,Sábado,13:30,2608047 - Kael - Inolerancia a la lactosa.jpeg,Programado,Doble sentido sexual; aprobado por Fernando para sábado por la tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🥛😏😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-30,Domingo,10:00,2608054 - Maeve - Salgamos a hablar de todo.jpeg,Programado,Romance/afecto; domingo noche. Asignación visual propuesta; requiere aprobación antes de producción/programación Reubicado desde 2026-08-30 19:00 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,💬💋🫶,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-30,Domingo,16:00,2608051 - Universe - Mi unico defecto es que me gusta cger.jpeg,Programado,Lenguaje sexual explícito; aprobado por Fernando para domingo por la tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,😽🔥🙈,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
