priority_rank,status,meta_id,publication_date_local,local_time,caption,interactions,reactions,comments,shares,asset_ref_known,next_evidence_needed
18,Visual_Confirmed,1036844829507460_122134620417072582,2026-06-30,,C´est la vie ! 🤷‍♂️ #UniverseSentMe #vidareal #vidagatuna #alma,366,284,5,77,260552,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
19,Visual_Confirmed,1036844829507460_122134379049072582,2026-06-29,,Dios después de crear el universo: “Espérate… ¿y yo quién me creó?” La primera crisis existencial de la historia 😂 @UniverseSentMe #existencial,365,273,17,75,2607838 - Dios - Quien me creo a mi (29-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
20,Visual_Confirmed,1036844829507460_122130406569072582,2026-06-15,,😇😈,362,257,11,94,260766,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
21,Visual_Confirmed,1036844829507460_122132350563072582,2026-06-20,,Hasta aquí llegue... u.u #UniverseSentMe #pendejadas #humor #relatable,351,239,3,109,2607786,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
22,Visual_Confirmed,1036844829507460_122130411897072582,2026-06-15,,😏,340,294,14,32,260765,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
23,User_Confirmed,1036844829507460_122128536909072582,2026-06-09,,🥴🫠🫠,226,190,10,26,260731,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
24,Needs_Asset_Match,1036844829507460_122134147251072582,2026-06-28,,A pesar de mi dislexia voy a lograr todo #UniverseSentMe #humor #dislexia,171,118,3,50,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
25,Needs_Asset_Match,1036844829507460_122130196011072582,2026-06-13,,Alguna ligueme... Yo no sé 😔,164,120,2,42,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
26,Needs_Asset_Match,1036844829507460_122129404893072582,2026-06-11,,Y si... u.u Universe Sent Me,155,135,1,19,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
27,Visual_Confirmed,1036844829507460_122128196421072582,2026-06-08,,pero tienes que estar conmig... u.u,144,116,4,24,260728,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
28,User_Confirmed,1036844829507460_122134040829072582,2026-06-27,,🥰🥰🥰 #UniverseSentMe #relatable #humor #parati,99,85,2,12,2607821,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
29,User_Confirmed,1036844829507460_122132703933072582,2026-06-22,,😗,77,62,1,14,2607796,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
30,Visual_Confirmed,1036844829507460_122131974717072582,2026-06-19,,😣,71,58,2,11,2607784,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
31,Visual_Confirmed,1036844829507460_122133553881072582,2026-06-26,,😎,68,48,3,17,2607813,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
32,Visual_Confirmed,1036844829507460_122128714959072582,2026-06-09,,😵‍💫,61,49,0,12,260732,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
33,Visual_Confirmed,1036844829507460_122130425607072582,2026-06-15,,tienes que dejar... ✨ que todo caiga en su lugar. Universe Sent Me #vidadegato #mood #universointerior #reflexiones,61,49,1,11,260767,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
34,Visual_Confirmed,1036844829507460_122131862643072582,2026-06-19,,Sigue bajando...,55,33,1,21,2607780,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
35,Visual_Confirmed,1036844829507460_122133507537072582,2026-06-25,,😒😒😒,55,43,2,10,2607811,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
36,Visual_Confirmed,1036844829507460_122134625811072582,2026-06-30,,obvio perro!! #vivamexico #UniverseSentMe #FIFAWordcup #mexico,53,48,1,4,2607840,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
37,Visual_Confirmed,1036844829507460_122130031401072582,2026-06-12,,volvi tonotos... Siganme para más contenido ✨,47,39,2,6,716,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
38,Visual_Confirmed,1036844829507460_122131787067072582,2026-06-18,,😳 esta bien.... #UniverseSentMe #vidareal #humor #parejas,47,41,2,4,260777,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
39,Visual_Confirmed,1036844829507460_122134144809072582,2026-06-28,,🫣🫣🫣,47,31,3,13,2607826,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
40,Visual_Confirmed,1036844829507460_122134045179072582,2026-06-27,,pos oye... 😒 #UniverseSentMe #vidareal #artedigital #humor #pazmental,45,35,1,9,2607822,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
41,Visual_Confirmed,1036844829507460_122130043761072582,2026-06-12,,¿Por que se enojo?😳😳,41,38,1,2,260748,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
42,Visual_Confirmed,1036844829507460_122134157199072582,2026-06-28,,😮‍💨😮‍💨😮‍💨 puro batallar....,40,32,1,7,2607827,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
43,Visual_Confirmed,1036844829507460_122132818167072582,2026-06-23,,🤪 osea si pero no... #UniverseSentMe #vidagatuna #vidagatuna,38,28,3,7,2607800,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
44,Visual_Confirmed,1036844829507460_122134641021072582,2026-06-30,,🫣🫣,38,31,1,6,2607844,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
45,Visual_Confirmed,1036844829507460_122133439875072582,2026-06-24,,👻👻👻,37,26,5,6,2607808,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
46,Visual_Confirmed,1036844829507460_122132375181072582,2026-06-20,,🧙‍♂️ #UniverseSentMe #humoracido #baila #sanar #cumbia,36,26,2,8,2607789,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
47,Needs_Asset_Match,1036844829507460_122125528653072582,2026-06-01,,#universesentme #bonita,35,26,1,8,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
48,Visual_Confirmed,1036844829507460_122132603703072582,2026-06-21,,😳,34,28,1,5,2607793,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
49,Visual_Confirmed,1036844829507460_122130028899072582,2026-06-12,,asi son... 😑,33,18,1,14,260749,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
50,Reconciled,1036844829507460_122127939543072582,2026-06-07,,✨✨✨,32,25,1,6,260724,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
51,Visual_Confirmed,1036844829507460_122131087671072582,2026-06-16,,😎,32,20,2,10,260771,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
52,Visual_Confirmed,1036844829507460_122129019423072582,2026-06-10,,😳😳,31,26,1,4,260738,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
53,Visual_Confirmed,1036844829507460_122131995297072582,2026-06-19,,👻,30,25,1,4,2607785,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
54,Visual_Confirmed,1036844829507460_122134366263072582,2026-06-29,,que sea pronto por favor...,30,27,1,2,2607831,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
55,Visual_Confirmed,1036844829507460_122131069383072582,2026-06-16,,👽,29,24,1,4,260769,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
56,Visual_Confirmed,1036844829507460_122131082895072582,2026-06-16,,😲😲,29,25,1,3,260770,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
57,Visual_Confirmed,1036844829507460_122133025227072582,2026-06-23,,Pero tengo un gran corazón... #UniverseSentMe #cosasquepasan #vidareal,28,22,1,5,2607802,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
58,Visual_Confirmed,1036844829507460_122134290783072582,2026-06-28,,Últimamente esto es lo único que se me sube. 🪳😂 #UniverseSentMe,28,21,1,6,2607832,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
59,Visual_Confirmed,1036844829507460_122128511733072582,2026-06-09,,😾,27,21,0,6,260730,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
60,Needs_Asset_Match,1036844829507460_122129952933072582,2026-06-12,,Que es lo más valioso que te has encontrado en la calle? Yo un Bop It de R2-D2 Universe Sent Me,27,19,4,4,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
61,Needs_Asset_Match,1036844829507460_122130232503072582,2026-06-13,,🫠🫠,27,24,1,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
62,Visual_Confirmed,1036844829507460_122132767677072582,2026-06-22,,😎 #UniverseSentMe #vidagatuna #narcisismo #relatable,27,18,4,5,2607799,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
63,User_Confirmed,1036844829507460_122133482997072582,2026-06-25,,😎,27,18,2,7,2607809,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
64,Needs_Asset_Match,1036844829507460_122127661851072582,2026-06-06,,,24,24,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
65,Visual_Confirmed,1036844829507460_122132371125072582,2026-06-20,,🤦‍♂️ #UniverseSentMe #humor #humoracido,24,17,3,4,2607788,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
66,Visual_Confirmed,1036844829507460_122128166019072582,2026-06-08,,Ya llegue patrona! 🫡,23,17,3,3,260726,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
67,Needs_Asset_Match,1036844829507460_122130216549072582,2026-06-13,,🤔,23,15,2,6,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
68,Visual_Confirmed,1036844829507460_122131277229072582,2026-06-17,,🙃,23,18,1,4,260774,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
69,Visual_Confirmed,1036844829507460_122133408501072582,2026-06-24,,Cualquier cosa por micelio. #UniverseSentMe #curpbiometrica #gnomo #VidaReal,22,16,2,4,2607804,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
70,User_Confirmed,1036844829507460_122133503349072582,2026-06-25,,🤔🤔 Ese tipo de preguntas no me deja dormir en la noche.,22,18,1,3,2607812,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
71,Visual_Confirmed,1036844829507460_122134604217072582,2026-06-30,,Dr. Michi: encontramos algo extraño en tu pecho...” “Yo: ¿un tumor?” Dr. Michi:: peor... una deuda kármica.” 😂 #UniverseSentMe #existencial #karma #michi #vidagatuna,21,14,3,4,2607842,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
72,Needs_Asset_Match,1036844829507460_122128512777072582,2026-06-09,,Consejo del día,20,18,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
73,Visual_Confirmed,1036844829507460_122132711259072582,2026-06-22,,😒 Mereces amor! #GuiaEspiritual #vidareal #UniverseSentMe,20,16,1,3,2607797,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
74,Needs_Asset_Match,1036844829507460_122125544019072582,2026-06-01,,#universesentme #relatable #fblifestyle #vidareal #rockstar,18,16,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
75,Needs_Asset_Match,1036844829507460_122129015739072582,2026-06-10,,🫠🫠🫠 #universesentme #relatable #vidareal #insight,18,16,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
76,Visual_Confirmed,1036844829507460_122132763591072582,2026-06-22,,😳🫣,18,14,4,0,607,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
77,Visual_Confirmed,1036844829507460_122127634803072582,2026-06-06,,No eres débil por caer...,17,10,1,6,260714,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
78,Visual_Confirmed,1036844829507460_122132379549072582,2026-06-20,,😶 #UniverseSentMe #HumorRelatable #SolteroPeroFeliz #YoMismo #CosasQuePasan,17,13,1,3,2607790,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
79,Visual_Confirmed,1036844829507460_122130223203072582,2026-06-13,,Esa si es inteligencia artificial ...,16,14,0,2,260754,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
80,Visual_Confirmed,1036844829507460_122130892707072582,2026-06-16,,Grumpy Cat Universe Sent Me #señales #artedigital #Existencia #vidadegato,16,14,1,1,260756,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
81,Visual_Confirmed,1036844829507460_122130900021072582,2026-06-16,,🙄,16,11,2,3,260768,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
82,Visual_Confirmed,1036844829507460_122131798671072582,2026-06-18,,🤒🤒 #UniverseSentMe #humor #vidagatuna,16,14,1,1,260778,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
83,Visual_Confirmed,1036844829507460_122132714559072582,2026-06-22,,Esta fue la primera vez que se vieron estos dos.. 🤪 #cosasquepasan #relatable #humor #UniverseSentMe #tarot,16,14,2,0,717,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
84,Visual_Confirmed,1036844829507460_122134032159072582,2026-06-27,,Tu cuerpo también reacciona a las personas correctas. #UniverseSentMe #vidagatuna #pazmental #VibraBonita #parati #artedigital,16,12,1,3,2607819,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
85,Visual_Confirmed,1036844829507460_122134350741072582,2026-06-29,,Do not disturb! first and only notice u.u #UniverseSentMe #meme #humoracido,16,14,1,1,2607834,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
86,Visual_Confirmed,1036844829507460_122134598745072582,2026-06-30,,😏 como no con todo gusto...,16,10,3,3,2607841,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
87,Needs_Asset_Match,1036844829507460_122125520661072582,2026-06-01,,"Yo esperando que se haga tarde ➡ Síguenos o si no ""𝒎𝒊𝒄𝒉𝒊𝒔 𝒎𝒊𝒂𝒖𝒔"" va llorar... 😳 #UniverseSentMe #CrisisExistencial #Fblifestyle #relatable #Despertar #NoMeArrepiento #whatif #VidaReal #Amanecer #rockstar",15,13,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
88,Visual_Confirmed,1036844829507460_122128190949072582,2026-06-08,,😏,15,10,0,5,260727,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
89,Visual_Confirmed,1036844829507460_122129076597072582,2026-06-10,,🫣🫣🫣,15,6,1,8,260741,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
90,Visual_Confirmed,1036844829507460_122130326151072582,2026-06-14,,😣🫣 #UniverseSentMe #IA #insight,15,11,0,4,260761,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
91,Visual_Confirmed,1036844829507460_122131883439072582,2026-06-19,,🫣🫣🫣,15,12,2,1,2607782,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
92,Visual_Confirmed,1036844829507460_122125544763072582,2026-06-01,,vamos a walmar preciosa...,14,10,2,2,260678,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
93,Needs_Asset_Match,1036844829507460_122125547121072582,2026-06-01,,Cómo no vas a poder... si hay flores rompiendo el pavimento! #EvolucionPersonal #UniverseSentMe #aesthetic #Rockstar #DespertarCosmico #illustration,14,12,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
94,Visual_Confirmed,1036844829507460_122127185487072582,2026-06-05,,,14,10,2,2,260684,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
95,Needs_Asset_Match,1036844829507460_122127916017072582,2026-06-07,,,14,11,2,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
96,Visual_Confirmed,1036844829507460_122131809333072582,2026-06-18,,A webo!! hoy gana #mexico #mundial2026 #fifaworldcup2026,14,10,1,3,260779,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
97,Visual_Confirmed,1036844829507460_122133950907072582,2026-06-26,,miau? 🥺,14,8,0,6,2607817,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
98,Needs_Asset_Match,1036844829507460_122134608507072582,2026-06-30,,Ya le entendí a la vida banda... #universesentme #merlin #fifaworldcup,14,9,3,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
99,Needs_Asset_Match,1036844829507460_122130329817072582,2026-06-14,,Piensalo bien... #universesentme #fun #humorácido #humornegro,13,12,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
100,Visual_Confirmed,1036844829507460_122134169481072582,2026-06-28,,😔,13,11,1,1,2607833,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
101,Needs_Asset_Match,1036844829507460_122127654273072582,2026-06-06,,,12,9,0,3,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
102,Visual_Confirmed,1036844829507460_122127942027072582,2026-06-07,,🤭🤭🤣,12,10,1,1,260722,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
103,User_Confirmed,1036844829507460_122129025387072582,2026-06-10,,#universesentme true killer,12,9,2,1,015,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
104,Visual_Confirmed,1036844829507460_122129033775072582,2026-06-10,,😎,12,9,2,1,260739,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
105,Visual_Confirmed,1036844829507460_122131778085072582,2026-06-18,,😌 mismamente...,12,8,2,2,260776,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
106,Visual_Confirmed,1036844829507460_122134508205072582,2026-06-29,,😑 aiuda!,12,9,2,1,2607839,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
107,Needs_Asset_Match,1036844829507460_122127931749072582,2026-06-07,,Claro que vi las red flags...,11,11,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
108,Needs_Asset_Match,1036844829507460_122128989885072582,2026-06-10,,😣😣🫠,11,9,2,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
109,Visual_Confirmed,1036844829507460_122129029371072582,2026-06-10,,Goals...,11,9,1,1,260737,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
110,Visual_Confirmed,1036844829507460_122129206443072582,2026-06-11,,😳,11,9,1,1,260742,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
111,Needs_Asset_Match,1036844829507460_122130226041072582,2026-06-13,,Enculate de mi 🫠,11,10,1,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
112,Visual_Confirmed,1036844829507460_122130334833072582,2026-06-15,,🙃 #UniverseSentMe #Yo #insomnio,11,4,2,5,260763,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
113,Visual_Confirmed,1036844829507460_122134037079072582,2026-06-27,,😒,11,7,0,4,2607820,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
114,User_Confirmed,1036844829507460_122134165677072582,2026-06-28,,clarooo....,11,11,0,0,2607830,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
115,Visual_Confirmed,1036844829507460_122126673171072582,2026-06-04,,🥴aiuda...,10,6,1,3,260680,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
116,Visual_Confirmed,1036844829507460_122130310797072582,2026-06-14,,😎,10,7,2,1,260759,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
117,Visual_Confirmed,1036844829507460_122131154349072582,2026-06-17,,"¿Te puedo llamar? es para una ""tarea"" n.n #GPT #chatgpt #vidagatuna #relatable",10,8,1,1,260772,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
118,Visual_Confirmed,1036844829507460_122131181673072582,2026-06-17,,😏 Que se te antoja comer? #UniverseSentMe #vidareal #vidadegato #humor #motel,10,8,1,1,260773,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
119,Visual_Confirmed,1036844829507460_122131879707072582,2026-06-19,,#chisme,10,7,0,3,2607781,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
120,Needs_Asset_Match,1036844829507460_122134065975072582,2026-06-27,,#universesentme #vidareal #destiny,10,6,3,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
121,Visual_Confirmed,1036844829507460_122134648779072582,2026-06-30,,Mañana en el trabajo 🫣🫣 #mexico #FIFA #UniverseSentMe,10,10,0,0,2607847,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
122,Visual_Confirmed,1036844829507460_122126675589072582,2026-06-04,,😏,9,6,1,2,260683,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
123,User_Confirmed,1036844829507460_122129224533072582,2026-06-11,,😽,9,7,2,0,260744,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
124,Visual_Confirmed,1036844829507460_122130319641072582,2026-06-14,,🤷‍♂️ #UniverseSentMe #vidareal #Relatable,9,8,1,0,260760,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
125,Visual_Confirmed,1036844829507460_122130330195072582,2026-06-14,,🙂‍↕️ #UniverseSentMe #HumorÁcido #insight #Yo,9,4,1,4,260762,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
126,Needs_Asset_Match,1036844829507460_122131071243072582,2026-06-16,,"¡Un saludo a mis nuevos seguidores! ¡Estoy feliz de que me sigan! Alex Villa, Yami Wakeshima, Alexis Alvarez, Areli Salgado, Afner Perales Calderón, Elias Jose Flores, Claudia Lucero, Brayan Nuñez - Rodríguez, José Ramírez, Jacobo Espinosa, Noveltis Hathor, Lupillo Piña, Manny Starr, Carlos Mendez, Alex Lopez, Jennifer Patlan, Aliss Leon, Lala Vega, Miguel Angel Zarate, Mao Morán, Daniel Carrillo, Carlos Emanuel Aruquipa, Suria Mancilla, Estiven López, Miguel Mazariegos, Fernanda Camarena, Eder R. Dimas, Evelin Calani Jarro, Jaime RV, Claudia Salas, Josue Medrano, الكسندر الكسندر, Jorge Xeloma, Berenice EM, Fractal Sobre Ruedas, Luis Alberto Roman Leovano, D'Santis Boreal, Liz Padilla, Brenda Justiniano Mendez, Olbia Moreno, Noside Sollavec, Mata Torres O Ivan, Danneey PL, Xair Bodden, Flor Morales, Jorge Abraham Coloma Cuadra, Paulina Melo, Valter Jaimes Miranda, Dilan OG, Angel Romero",9,9,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
127,Visual_Confirmed,1036844829507460_122132695779072582,2026-06-22,,Los tres igual de confundidos... #UniverseSentMe #ansiedad #GuiaEspiritual #vidareal,9,6,3,0,2607795,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
128,Needs_Asset_Match,1036844829507460_122134055109072582,2026-06-27,,Demagoga? 🤔 #universesentme #universo #podcast,9,8,1,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
129,Visual_Confirmed,1036844829507460_122134356465072582,2026-06-29,,😇,9,8,0,1,2607836,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
130,Visual_Confirmed,1036844829507460_122125531995072582,2026-06-01,,y tambien sigan la pagina... 👊 #UniverseSentMe #UAP #uap,8,7,1,0,260696,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
131,Visual_Confirmed,1036844829507460_122126647605072582,2026-06-04,,😳 #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #relatable #UniverseSentMe #universesentme,8,7,1,0,260693,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
132,Visual_Confirmed,1036844829507460_122126669349072582,2026-06-04,,andaba resolviendo ... 🤭,8,7,1,0,260699,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
133,Needs_Asset_Match,1036844829507460_122127189117072582,2026-06-05,,Ustedes ven el cielo? #skyporn #cloudporn #universesentme #rockstar #humoracido,8,7,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
134,Visual_Confirmed,1036844829507460_122127213801072582,2026-06-05,,😳😳,8,6,2,0,260705,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
135,Visual_Confirmed,1036844829507460_122128156065072582,2026-06-08,,"Eres agua, solo fluye!",8,7,0,1,260713,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
136,Visual_Confirmed,1036844829507460_122130293907072582,2026-06-14,,En algún lugar de Nubealis... ¿Le dicen ustedes o le digo yo? 🫣,8,7,1,0,260755,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
