asset_ref,filename,personajes,titulo,drive_id,Estado_Visual,Franja_Compatibilidad,Riesgo_Editorial,Slot_Propuesto,Motivo_Asignacion,Revision_Necesaria
2608049,2608049 - Elara - Tibio tu cafe.jpeg,Elara,Tibio tu cafe,1Y1UTctG6SMoUTCpThHJbPVEGXmMmOwiA,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-21 13:30,Romance ácido; mediodía/tarde.,Sí — comprobación final de legibilidad y caption
2608050,2608050 - Universe - A ponerse en forma.jpeg,Universe,A ponerse en forma,1B9GdRzUTIJOIBOJrgoQ0DYKToP3ei27b,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-18 13:30,Automejora/relatable; mediodía.,Sí — comprobación final de legibilidad y caption
2608051,2608051 - Universe - Mi unico defecto es que me gusta cger.jpeg,Universe,Mi unico defecto es que me gusta cger,17FdxaWOE8m35r78eIqtPzXP7YvUWn7M-,Retener_Editorial,Noche/fin de semana; sin asignación hasta aprobación,Alto,SIN_ASIGNAR,"Lenguaje sexual explícito; fin de semana, requiere aprobación.",Sí — aprobación individual antes de incluir en calendario
2608052,2608052 - Evan - Yo confiando en Google Maps.jpeg,Evan,Yo confiando en Google Maps,1xjqD0PgX-Q42RAIEmfJu9H3RvNDWwU73,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-18 16:00,Situacional/absurdo; tarde.,Sí — comprobación final de legibilidad y caption
2608053,2608053 - Universe - Quieras o no.jpeg,Universe,Quieras o no,1hZbZKgRMsZ6oPmT8dwR1CCKZFMxVd9_N,Retener_Editorial,Noche/fin de semana; sin asignación hasta aprobación,Alto,SIN_ASIGNAR,Romance coercitivo con arma de juguete; requiere aprobación individual.,Sí — aprobación individual antes de incluir en calendario
2608054,2608054 - Maeve - Salgamos a hablar de todo.jpeg,Maeve,Salgamos a hablar de todo,1CCzD_SGKVxkYvHgCitkrVOaooZimrtb-,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-30 19:00,Romance/afecto; domingo noche.,Sí — revisar texto final y tono antes de programar
2608055,2608055 - Kiri - Parezco normal.jpeg,Kiri,Parezco normal,1nx_gBnzXFbrT46UYJmmJoIT5WKinULos,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-27 19:00,Ansiedad nocturna; noche.,Sí — revisar texto final y tono antes de programar
2608056,2608056 - Wilfred - Analize tu contexto.jpeg,Wilfred,Analize tu contexto,1kKQ9a_E6M-HHiqls7EjHXorRsIPzc9vj,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-20 16:00,Respuesta ácida con lenguaje fuerte; tarde.,Sí — comprobación final de legibilidad y caption
2608057,2608057 - Fantasma - Sabes que me caeria bien.jpeg,Fantasma,Sabes que me caeria bien,1yY36gmw6u7VQSEuHxsTHPtzgGd7T6T57,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-23 16:00,Doble sentido sexual; domingo tarde/noche.,Sí — revisar texto final y tono antes de programar
2608058,2608058 - Silvio - Tiene que dar tranquilidad.jpeg,Silvio,Tiene que dar tranquilidad,11yMD_hL4ugmNQu0l1yAT5pHXxtZi6R1y,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-26 16:00,Ansiedad/contraste humorístico; tarde.,Sí — comprobación final de legibilidad y caption
2608059,2608059 - Kael - Si la vida te da limones.jpeg,Kael,Si la vida te da limones,1c31wG8XsHh8nVGswAS6qgwriJtVZehnt,Retener_Editorial,Noche/fin de semana; sin asignación hasta aprobación,Alto,SIN_ASIGNAR,Doble sentido sexual; requiere aprobación individual.,Sí — aprobación individual antes de incluir en calendario
2608061,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,Fantasma,acaso parezco alguien que quiere ser genial,1TSf7ylzn8M14gNqUg87ARDcejBo3m6GK,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-19 11:00,Humor seco/relatable; media mañana.,Sí — comprobación final de legibilidad y caption
2608062,2608062 - Kiri+Evan - prestame el marron.jpeg,Kiri+Evan,prestame el marron,10fDDVon1sa0h9fk7uVfRkNU4Wz66rpTe,Retener_Editorial,Noche/fin de semana; sin asignación hasta aprobación,Alto,SIN_ASIGNAR,Doble sentido sexual; requiere aprobación individual.,Sí — aprobación individual antes de incluir en calendario
2608063,2608063 - Universe - Larga vida a esas mujeres.jpeg,Universe,Larga vida a esas mujeres,1tqSd44quWVGE1DAxEMXubCkhwrOXIE8l,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-22 13:30,"Doble sentido sexual; sábado mediodía, requiere aprobación.",Sí — revisar texto final y tono antes de programar
2608064,2608064 - Universe - Quieren hacer pendejo al que nacio asi.jpeg,Universe,Quieren hacer pendejo al que nacio asi,1pobDeNctju8fvKuMr5G_UYFP_3kZhveG,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-27 16:00,Lenguaje fuerte/ácido; tarde.,Sí — comprobación final de legibilidad y caption
2608065,2608065 - Fantasma - Pedazo de socrates.jpeg,Fantasma,Pedazo de socrates,19w2ShwavNcAS4YDdY7pH4XYqtktLcSN-,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-26 11:00,Existencial/ácido; media mañana.,Sí — comprobación final de legibilidad y caption
