Reel_Record_ID,Platform,Platform_Content_ID,Meta_Reel_ID,Publication_UTC,Concept_ID,Title_or_Caption,Character,Content_Type,Evidence_Status,Drive_Evidence_Status,Asset_Match_Status,Asset_Relationship,Editorial_Qualification,Experiment_ID,Hypothesis_ID,Crosspost_Status,Production_Status,Publication_Status,Metrics_Status,Views,Reach,Engagement,Source,Last_Sync
REEL-011,Facebook,1036844829507460_122143966461072582,,2026-08-02T01:13:16+0000,CON-2026-08-02-Muros_e_Inbox,La sabiduría del bosque es clara: lo que ves en el muro es solo la punta del iceberg. El verdadero caos está en el mensaje directo 🌲🤐 #universesentme #WilfredUSM #humorsarcástico #murosvemos #reelsinstagram,Wilfred,Reel,Confirmado_por_Meta_API,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,22,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-012,Facebook,1036844829507460_122143141185072582,,2026-07-30T14:17:19+0000,CON-2026-07-30-Wilfred_Plush,🤭 #UniverseSentMe #WilfredUSM #humor #MercadoLibre #plush,Wilfred,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,Exclusiva_Facebook,Published_Historical,Published,Historical_snapshot_or_partial,,,26,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-013,Facebook,1036844829507460_122143048701072582,,2026-07-30T02:03:18+0000,CON-2026-07-30-Gato_hace_de_todo,Mi gato sabe hacer de todo... #universesentme #vidagatuna #UniverseUSM #humor,Universe,Reel,Confirmado_por_Meta_API,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,25,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-014,Facebook,1036844829507460_122143033293072582,,2026-07-29T19:03:31+0000,CON-2026-07-29-Rock_vs_Juan_Gabriel,Un rock bien gótico Vs una canción de Juan Gabriel #UniverseSentMe #UniverseUSM #vidagatuna #humor,Universe,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,28,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-015,Facebook,1036844829507460_122142839523072582,,2026-07-29T04:14:25+0000,CON-2026-07-29-Wilfred_MomentOS,#universesentme #universo #WilfredUSM #humor #MomentosUSM,Wilfred,Reel,Confirmado_por_Meta_API,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,7,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-016,Facebook,1036844829507460_122141842839072582,,2026-07-25T21:10:09Z,CON-2026-07-25-Fantasma_Camina_Gatos,"Dicen que si lo ves caminando, no lo sigas... Los gatos sí saben a dónde va 👻 🌲",Universe,Reel,Confirmado_por_Meta_Graph_API_y_Fernando,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,,Meta Graph API directa — Page feed,2026-08-22
REEL-017,Facebook,1036844829507460_122142469383072582,,2026-07-27T19:23:12Z,CON-2026-07-27-Mi_ascenso_a_la_locura,Mi ascenso a la locura 😵‍💫,Sin clasificar,Reel,Confirmado_por_Meta_Graph_API_y_Fernando,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,,Meta Graph API directa — Page feed,2026-08-22
REEL-018,Facebook,1036844829507460_122140853631072582,,2026-07-21T20:58:43Z,CON-2026-07-31-Escribiendo,El verdadero terror psicológico...,Sin clasificar,Reel,Confirmado_por_Meta_Graph_API_y_Fernando,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,,Meta Graph API directa — Page feed,2026-08-22
REEL-019,Instagram,18011682410922621,,2026-07-21T20:58:30Z,CON-2026-07-31-Escribiendo,El verdadero terror psicológico...,Sin clasificar,Reel,Confirmado_por_Instagram_Connector_y_Fernando,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,,Conector nativo de Instagram — get_post_list,2026-08-22
REEL-020,Instagram,18014226926888946,,2026-07-05T04:43:49Z,CON-2026-07-31-Gato_17_Juguetes,Gasté como si no hubiera un mañana...,Sin clasificar,Reel,Confirmado_por_Instagram_Connector_y_Fernando,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,,Conector nativo de Instagram — get_post_list,2026-08-22
REEL-021,Facebook,1036844829507460_122136156675072582,,2026-07-05T04:44:05Z,CON-2026-07-31-Gato_17_Juguetes,Yo después de comprar cosas para mi gato a las 2 am...,Universe,Reel,Confirmado_por_Meta_Graph_API_y_Fernando,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,,Meta Graph API directa — Page feed,2026-08-22
REEL-022,Instagram,18102391205336788,,2026-07-24T16:16:24+0000,,Cultiva la paz interior.. #universesentme #relatable #humoracido #rockstar,Universe,Reel,Confirmado_por_Windsor,Not_confirmed,,,,,,No_agrupar_como_mismo_export,Published_Historical,Published,Historical_snapshot_or_partial,354,247,19,Windsor.ai:instagram,2026-08-22
REEL-023,Instagram,18079365233681564,,2026-07-25T21:10:02+0000,CON-2026-07-25-Fantasma_Camina_Gatos,"Dicen que si lo ves caminando, no lo sigas... Los gatos sí saben a dónde va 👻 🌲 #universesentme #fantasmaUSM #MomentosUSM #darkfantasy #fyp",Fantasma,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,145,127,7,Windsor.ai:instagram,2026-08-22
REEL-024,Instagram,17975917574904303,,2026-07-27T19:22:59+0000,CON-2026-07-27-Mi_ascenso_a_la_locura,Mi ascenso a la locura 😵‍💫 #universesentme #hadaUSM #MomentosUSM #reflexiones,Kiri,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,129,107,2,Windsor.ai:instagram,2026-08-22
REEL-025,Instagram,18004973039958799,,2026-07-29T19:03:17+0000,CON-2026-07-29-Rock_vs_Juan_Gabriel,Un rock bien gótico Vs una canción de Juan Gabriel #UniverseSentMe #UniverseUSM #vidagatuna #humor,Universe,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,78,58,1,Windsor.ai:instagram,2026-08-22
REEL-026,Instagram,17884121250454162,,2026-07-29T04:14:09+0000,CON-2026-07-29-Wilfred_MomentOS,#universesentme #universo #WilfredUSM #humor #MomentosUSM,Wilfred,Reel,Confirmado_por_Windsor,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,33,21,0,Windsor.ai:instagram,2026-08-22
REEL-027,Instagram,17893864368579271,,2026-07-30T02:03:03+0000,CON-2026-07-30-Gato_hace_de_todo,Mi gato sabe hacer de todo... #universesentme #vidagatuna #UniverseUSM #humor,Universe,Reel,Confirmado_por_Windsor,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,140,116,5,Windsor.ai:instagram,2026-08-22
REEL-028,Instagram,17922445887404611,,2026-08-02T01:30:04+0000,CON-2026-08-02-Muros_e_Inbox,La sabiduría del bosque es clara: lo que ves en el muro es solo la punta del iceberg. El verdadero caos está en el mensaje directo 🌲🤐 #universesentme #WilfredUSM #humorsarcástico #murosvemos #reelsinstagram,Wilfred,Reel,Confirmado_por_Windsor,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,37,29,0,Windsor.ai:instagram,2026-08-22
REEL-029,Instagram,17873601261628669,,2026-08-03T03:23:29+0000,CON-2026-08-03-Conversaciones_atrancadas,Hay conversaciones que no llegan a ningun lado 👻 🐱 Universe lo intentó. ¿A quien le tienes que explicar tu vida como tres veces porque sigue atorado en el mismo tema? 👇 #UniverseSentMe #FantasmaUSM #memesen español #relatable #̤c̤o̤m̤e̤d̤y̤r̤e̤e̤l̤s̤,Fantasma,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,20,20,0,Windsor.ai:instagram,2026-08-22
REEL-030,Instagram,18161490751464718,,2026-08-04T02:27:36+0000,CON-2026-08-04-Fantasma_Backrooms,"Dicen que si te sales de la realidad en el lugar equivocado, terminas aquí. Fantasma no se perdió, su lógica de supervivencia lo llevó al espacio liminal definitivo. 👻🚪 Etiqueta a esa persona que vive ""glitcheada"" entre el pasado y el presente. #UniverseSentMe #FantasmaUSM #Backrooms #LiminalSpaces #GlitchCore",Fantasma,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,121,116,3,Windsor.ai:instagram,2026-08-22
REEL-031,Instagram,18072347879724148,,2026-08-06T00:29:53+0000,CON-2026-08-05-Instante_suspendido,Me hace falta vitamina B. (besos). . . #FantasmaUSM #MomentosUSM #UniverseSentMe #Contemplativo #AestheticReels MelancholyVibes,Fantasma,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,41,27,1,Windsor.ai:instagram,2026-08-22
REEL-032,Instagram,17940860565300063,,2026-08-09T02:00:03+0000,CON-2026-08-09-Elara_Evan_Estrellas,#UniverseSentMe #EvanUSM #ElaraUSM,Elara,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,10,5,1,Windsor.ai:instagram,2026-08-22
REEL-033,Instagram,18119820211888688,,2026-08-09T01:22:27+0000,CON-2026-08-09-Caja_de_Luna,Universe no sabe qué trae en la caja. Nunca sabe. 🌙📦 Pero sí sabe quedarse a ver la cara que pone Elara cuando la abre. #UniverseSentMe #QueMeLlegoUSM #UniverseUSM #ElaraUSM,Elara,Reel,Confirmado_por_Windsor,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,150,121,4,Windsor.ai:instagram,2026-08-22
REEL-034,Instagram,17967086586135144,,2026-08-10T00:00:04+0000,CON-2026-08-10-Cartones_Papeles,Les dije que no eran papeles... #universesentme #UniverseUSM #memes #humor,Universe,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,138,106,1,Windsor.ai:instagram,2026-08-22
REEL-035,Instagram,17915449680426911,,2026-08-11T19:08:45+0000,CON-2026-08-11-Universe_Sin_Caption,#UniverseSentMe 🫶✨,Universe,Reel,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,51,37,2,Windsor.ai:instagram,2026-08-22
REEL-036,TikTok,7668211137661472020,,2026-07-30T06:55:47,,"Desde que decidí no andar con pendej@s, no he vuelto a tener una relación. #UniverseSentMe #fantasmaUSM #humor #meme",Fantasma,Video,Confirmado_por_Windsor,Not_confirmed,,,,,,Exclusiva_TikTok,Published_Historical,Published,Historical_snapshot_or_partial,521,,6,Windsor.ai:tiktok_organic,2026-08-22
REEL-037,TikTok,7668208937937718549,,2026-07-30T06:47:13,CON-2026-07-29-Rock_vs_Juan_Gabriel,Los gatos en la madrugada... #gatos #humor #vidagatuna,Universe,Video,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,Confirmada_por_Fernando,Published_Historical,Published,Historical_snapshot_or_partial,157,,2,Windsor.ai:tiktok_organic,2026-08-22
REEL-038,TikTok,7668797651353226516,,2026-07-31T20:51:55,CON-2026-07-31-Gato_17_Juguetes,Cuando dices que vas ahorrar.. y tú gato con 17 juguetes nuevos 🤪 #humor #gatos #relatable #memes,Universe,Video,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,Confirmada_por_Fernando__republicacion_diferida,Published_Historical,Published,Historical_snapshot_or_partial,518,,7,Windsor.ai:tiktok_organic,2026-08-22
REEL-039,TikTok,7669240375399189780,,2026-08-02T01:29:50,CON-2026-08-02-Muros_e_Inbox,La sabiduría del bosque es clara: lo que ves en el muro es solo la punta del iceberg. El verdadero caos está en el mensaje directo 🌲🤐 #universesentme #WilfredUSM #humorsarcástico #murosvemos #reelsinstagram,Wilfred,Video,Confirmado_por_Windsor,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,711,,3,Windsor.ai:tiktok_organic,2026-08-22
REEL-040,TikTok,7669957189435428117,,2026-08-03T23:51:16,CON-2026-08-03-Habilidades_manual,Habilidades que no vienen en el manual de usuario #UniverseSentMe #relatable #gatostiktok #destino,Universe,Video,Confirmado_por_Windsor,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,186,,1,Windsor.ai:tiktok_organic,2026-08-22
REEL-041,TikTok,7670378001032301845,,2026-08-05T03:04:13,CON-2026-08-05-Ojos_correctos,En los ojos correctos,Sin clasificar,Video,Confirmado_por_Windsor,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,0,,0,Windsor.ai:tiktok_organic,2026-08-22
REEL-042,TikTok,7670705650501963028,,2026-08-06T00:15:39,CON-2026-08-05-Instante_suspendido,me hace falta vitamina B 💀🫧 (besos) #FantasmaUSM #UniverseSentMe #Contemplativo #AestheticTok #GhostCore,Fantasma,Video,Confirmado_por_Windsor,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,175,,4,Windsor.ai:tiktok_organic,2026-08-22
REEL-043,YouTube,Qoa-XUOVALk,,2026-07-29T08:54:07Z,CON-2026-07-25-Fantasma_Camina_Gatos,Fantasma,Fantasma,Video / Short,Confirmado_por_Windsor; fecha_publicacion_confirmada,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,13,,,Windsor.ai:youtube; metadata nativo,2026-08-22
REEL-044,YouTube,7qB8kWKwyTg,,2026-08-06T00:34:41Z,CON-2026-08-05-Instante_suspendido,Me hace falta vitamina B (besos) #FantasmaUSM #UniverseSentMe #Contemplativo,Fantasma,Video / Short,Confirmado_por_Windsor; fecha_publicacion_confirmada,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,1853,,,Windsor.ai:youtube; metadata nativo,2026-08-22
REEL-045,YouTube,zJhlOICkEuA,,2026-08-02T01:32:47Z,CON-2026-08-02-Muros_e_Inbox,El verdadero caos está en el mensaje directo 🌲🤐#universesentme,Universe,Video / Short,Confirmado_por_Windsor; fecha_publicacion_confirmada,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,2252,,,Windsor.ai:youtube; metadata nativo,2026-08-22
REEL-046,YouTube,LNL-bYhQ6pE,,2026-08-05T03:05:55Z,CON-2026-08-05-Ojos_correctos,En los ojos correctos... #funny #humorsarcástico #relatable,Sin clasificar,Video / Short,Confirmado_por_Windsor; fecha_publicacion_confirmada,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,3,,,Windsor.ai:youtube; metadata nativo,2026-08-22
REEL-047,YouTube,rox7BGGcfwQ,,2026-07-31T21:02:44Z,CON-2026-07-31-Escribiendo,"Cc vuelves a leer una conversación de hace 3 años.. y sale ""Escribiendo..."" 💀",Sin clasificar,Video / Short,Confirmado_por_Windsor; fecha_publicacion_confirmada,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,23,,,Windsor.ai:youtube; metadata nativo,2026-08-22
REEL-048,YouTube,3omHgH6ig6w,,2026-08-03T23:54:39Z,CON-2026-08-03-Habilidades_manual,Estás habilidades no vienen en el manual de usuario 😸 #cat #humorsarcástico #funny #relatable,Sin clasificar,Video / Short,Confirmado_por_Windsor; fecha_publicacion_confirmada,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,903,,,Windsor.ai:youtube; metadata nativo,2026-08-22
REEL-049,Facebook,1036844829507460_122123860587072582,1877535942934184,2026-05-24T21:33:33+0000,CON-2026-05-24-Fantasma_tranquilo_viento,¡Descubre esta app de dramas! 🫠✨ https://apiv2.free-reels.com/frv2-api/l/2s4HnG6B0Iw,Fantasma,Reel,Confirmado_por_Meta_API_y_revision_visual_Drive,Confirmed_or_documented,Match_Visual_Exact,Single_asset_match,Exclude_from_clean_editorial_comparables_until_external_url_treatment_is_coded,,,No_verificado_en_esta_extension,Published_Historical,Published,Meta_interactions_lifetime_consulted; views_reach_pendientes,,,3,Meta historical feed; Drive exact visual crossmatch XMR-001,2026-08-22
REEL-050,Facebook,1036844829507460_122130226041072582,2417378928740605,2026-06-14T00:13:49+0000,CON-2026-06-14-Hoodie_Anillos_Energia,Enculate de mi 🫠,Man_unknown_character,Reel,Confirmado_por_Meta_API_y_revision_visual_Drive,Confirmed_or_documented,Match_Visual_Exact_Asset_Set,Asset_Set_Match,Historical_editorial_record; character_not_canonized_from_filename,,,No_verificado_en_esta_extension,Published_Historical,Published,Meta_interactions_lifetime_consulted; views_reach_pendientes,,,11,Meta historical feed; Drive exact visual asset-set crossmatch XMR-003,2026-08-22
REEL-051,Facebook,1036844829507460_122134608507072582,1049041731412120,2026-06-30T18:45:55+0000,CON-2026-06-30-Pato_Villano_EresAries,Ya le entendí a la vida banda... #universesentme #merlin #fifaworldcup,Duck_unknown_character,Reel,Confirmado_por_Meta_API_y_revision_visual_Drive,Confirmed_or_documented,Match_Visual_Exact,Single_asset_match,Exclude_from_clean_comparables_until_AI_watermark_and_external_character_treatment_are_coded,,,No_verificado_en_esta_extension,Published_Historical,Published,Meta_interactions_lifetime_consulted; views_reach_pendientes,,,14,Meta historical feed; Drive exact visual crossmatch XMR-004,2026-08-22
REEL-052,Facebook,1036844829507460_122117387085072582,2030712827541059,2026-05-01T17:14:27+0000,,🫣🫣,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,4,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-053,Facebook,1036844829507460_122117401743072582,1744643643181661,2026-05-01T20:52:44+0000,,🫠🫠 #UniverseSentMe #vidareal,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,8,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-054,Facebook,1036844829507460_122117485311072582,1534052868320978,2026-05-02T16:48:12+0000,,🤦‍♂️ #UniverseSentMe Sígueme para más contenido ✨,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,8,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-055,Facebook,1036844829507460_122117504565072582,1357137352923823,2026-05-02T22:00:59+0000,,🥴🥴,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,14,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-056,Facebook,1036844829507460_122117538429072582,1636530260904334,2026-05-03T03:57:37+0000,,,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,7,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-057,Facebook,1036844829507460_122117592411072582,1007251918393654,2026-05-03T18:52:37+0000,,🤪 #UniverseSentMe #NoMeArrepiento,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,7,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-058,Facebook,1036844829507460_122117701161072582,26858527637139429,2026-05-04T15:53:01+0000,,#UniverseSentMe #vidareal,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,14,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-059,Facebook,1036844829507460_122118094287072582,1613076373251070,2026-05-05T15:03:58+0000,,#UniverseSentMe #vidareal #whatif #rockstar,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,3,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-060,Facebook,1036844829507460_122118424137072582,1315373520733342,2026-05-06T18:14:03+0000,,😌😌,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,4,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
REEL-061,Facebook,1036844829507460_122118702813072582,1379496217270226,2026-05-07T16:17:15+0000,,Me has dado muchos besos.. ✨,Sin_clasificar,Reel,Confirmado_por_Meta_API;_asset_pendiente,Not_confirmed,Pending_Drive_or_local_asset_match,,Historical_identity_only; no_clean_comparable_verdict,,,No_auditado,Published_Historical,Published,Meta_interactions_current_feed_snapshot; views_reach_retention_pending,,,13,Meta historical feed 2026-05/06; video attachment confirmed,2026-08-22
