id,titulo,personaje_principal,personajes_secundarios,tipo_contenido,plataforma,objetivo,hipotesis,estado,prioridad,dificultad_produccion,reutilizable,fecha_ultima_publicacion,fuente,formato,categoria,bloqueado_canon,estado_operacion_normalizado,estado_canon_normalizado,asset_ref_confirmado,asset_ref_candidato,reconciliacion_estado,reconciliacion_confianza,reconciliacion_fuente,reconciliacion_nota,registro_relacionado,drive_reference_id,meta_publication_id,meta_permalink,asset_set,Asset_Ref,Asset_Filename,Drive_ID,Estado_Canon,Estado_Produccion,Estado_Publicacion,Ultima_Sincronizacion,Motivo_Revision_Normalizado,personaje_principal_normalizado,personajes_secundarios_normalizados,rol_narrativo,tipo_humor_normalizado,potencial_etiquetado,confianza_taxonomia,fuente_taxonomia,nota_taxonomia
CNT-021,Behind the scenes — pipeline de producción IA,N/A (meta),,Reel / Carrusel,"Instagram, TikTok, YouTube Shorts",Mostrar el proceso creativo detrás del universo — meta-contenido educativo,,Idea,Media,Baja,Sí,No publicado,Perfil del usuario (AI filmmaking),Reel / Carrusel,Behind the scenes / Educación,No,Idea,Canon_Clear_or_Unverified,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,,,,,Revision,Idea,No_Publicada,2026-08-15,,No identificado,Ninguno,No determinado,No determinado,Bajo,Baja,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-022,Cosmogonía — contenido narrativo visual,Variable,,Reel / Carrusel,"Instagram, TikTok","Comunicar visualmente las capas de la Cosmogonía (origen de la magia, resonancia)",,Idea,Baja,"Alta (capas 2, 4, 5 aún pendientes)",Sí,No publicado,Canon — 04 Cosmogonía,Reel / Carrusel,Narrativa / Lore,"Parcial — Capas 2, 4, 5 pendientes",Idea,Canon_Partial,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,,,,,Revision,Idea,No_Publicada,2026-08-15,,No identificado,Ninguno,No determinado,No determinado,Bajo,Baja,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-023,Sección recurrente '¿Qué me llegó?' (formato afiliación),Rotativo,@char_USM_universe,Reel recurrente,"Facebook, Instagram, TikTok, YouTube Shorts",Formato monetizable con afiliación de Mercado Libre,,"Publicado (Facebook, 08-Ago-2026)",Alta,Baja (formato repetible),Sí (formato),2026-08-08 19:19:54-06:00,08_Production/Reels/Reel_002.md,"Reel ~14s, 4 shots",Comerciar / Afiliación / Humor,No,Published,Canon_Clear_or_Unverified,,,Resolved_Asset_Set,High,Meta Graph API Page feed; user-provided URL https://www.facebook.com/reel/1067337609170026/; Drive folder 17YADGnZxhtQP-Jd60x9TZqGBchWmMU9n,Publicación confirmada: el post de Meta corresponde al episodio 2 de ¿Qué me llegó? y utiliza Elara/Lámpara de Luna. El episodio tiene 7 assets de producción en Drive; no se asigna 260 individual.,CNT-002,17YADGnZxhtQP-Jd60x9TZqGBchWmMU9n,1036844829507460_122147352825072582,https://www.facebook.com/reel/1067337609170026/,Cat_delivers_package_to_witch_202608081911.mp4; Cat_delivers_package_to_woman_202608081951.jpeg; Cat_walking_with_package_1080p_202608081939.mp4; Char_Elara_opening_package_202608081909.mp4; Generar_video_de_secuencia_imagenes_202608081917.mp4; Generar_video_de_secuencia_imagenes_202608081922.mp4; Generar_video_de_secuencia_imagenes_202608081928.mp4,,Cat_delivers_package_to_witch_202608081911.mp4; Cat_delivers_package_to_woman_202608081951.jpeg; Cat_walking_with_package_1080p_202608081939.mp4; Char_Elara_opening_package_202608081909.mp4; Generar_video_de_secuencia_imagenes_202608081917.mp4; Generar_video_de_secuencia_imagenes_202608081922.mp4; Generar_video_de_secuencia_imagenes_202608081928.mp4,17YADGnZxhtQP-Jd60x9TZqGBchWmMU9n,Revision,Publicado,Publicada,2026-08-15,,Universe,Ninguno,Protagonista,Fandom o referencia,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-024,Frase del día — personaje + principio filosófico,Rotativo,,Foto / Historia,"Instagram, Facebook, Twitter/X",Contenido de baja producción y alta frecuencia — mantener presencia diaria,,Idea,Alta,Muy baja,Sí,No publicado,Analytics (Fotos dominan con 1.36M vistas),Foto + texto,Filosofía / Frase,No,Idea,Canon_Clear_or_Unverified,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,,,,,Revision,Idea,No_Publicada,2026-08-15,,No identificado,Ninguno,Narrador u observador,Existencial o absurdo,Bajo,Media,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-025,"Experimentos Growth OS — tests A/B de tono, formato, personaje",Variable,,Reel (parejas de variantes),"Instagram, YouTube Shorts",Validar hipótesis del Growth OS con datos reales,Variable por experimento,Pendiente de aprobación,Media,Media-Alta,Sí (metodología),No publicado,GrowthOS/Integracion_Growth_OS.md,Reel (2 variantes),Experimento / Datos,Sí — requiere aprobación Fernando,Pending_Approval,Canon_Clear_or_Unverified,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,,,,,Revision,Pendiente_Revision,No_Publicada,2026-08-15,Canon_Aprobacion_Administrativa,No identificado,Ninguno,No determinado,No determinado,Alto,Baja,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-026,Banco de memes fin de semana 16-17 de agosto (5 piezas),Multichar,@char_USM_fantasma @char_USM_wilfred @char_USM_universe @char_USM_maeve,Foto (meme / frase en copy),"Facebook, Instagram",Memes de fin de semana con score >= 8.5 - explotar hipotesis H11/H13/H14 del ciclo diario,"H11 (minimalismo = shares), H13 (acido = shares), H14 (pareja = shares etiquetables)",Draft - propuestas listas pendientes de aprobacion,Alta,Baja (bases 2K existentes del proyecto),Si (formato por personaje),No publicado,Operations/Production/CNT026_Memes_FinDeSemana_16_17_Ago.md,Foto 2K + copy,Filosofia / Humor,No,Draft_Pending_Approval,Canon_Clear_or_Unverified,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,,,,,Revision,Pendiente_Revision,No_Publicada,2026-08-15,,Universe,Wilfred;Fantasma;Maeve,Reparto coral,Existencial o absurdo;Humor ácido o negro,Alto,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-027,Meme Fantasma - Ghosting eterno (propuesta desde Drive Ideas-Memes),@char_USM_fantasma,,Foto (meme / frase en copy),"Facebook, Instagram",Meme de espera eterna resignada + punchline seco con giro moderno (ghosting/mensajes) - explotar patrones identificados en carpeta Drive Ideas-Memes,Patrón Fantasma frase (173.9K) + giro moderno validado por Universe astral (3.31% ER) + humor relatable = shares >= 0.5% alcance,Draft - propuesta con score 9.10/10 PASS (scripts/score_proposal.py) - pendiente aprobación de Fernando,Media,Baja - base visual es asset 2K existente del proyecto (8 - Fantasma_levitating_above_woods_2K),Sí (regla 30 días si se contempla meme-to-reel),,Drive: Universe Sent Me > Ideas > Memes (1Aav6tyHJPwpUPHox7Dh3upttKhkuC0Kj),Foto 2K + frase en copy,MemesUSM,No - capta libre; arco del Fantasma no se resuelve,Draft_Pending_Approval,Canon_Constrained,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,,,,,Revision,Pendiente_Revision,No_Publicada,2026-08-15,Canon_Restriccion_No_Bloqueante,Fantasma,Ninguno,Protagonista,Relatable cotidiano,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-028,Banco de 5 memes adaptados de Drive - frase intacta + marca UniverseSentMe,Multichar,@char_USM_fantasma @char_USM_wilfred @char_USM_universe @char_USM_silvio @char_USM_maeve @char_USM_kael,Foto adaptada (frase original en imagen + marca en imagen),"Facebook, Instagram",Adaptar memes virales en español de Drive Ideas-Memes a personajes y escenarios USM conservando frase palabra por palabra; activar el modo Adaptado del sistema de memes,La formula completa del meme viral (texto + composicion) recreada con personajes USM mantiene el punch original + añade branding; modo Adaptado formalizado en 03_00,Draft v2 - 5 imagenes regeneradas con rasgos canonicos (assets oficiales) - pendiente aprobacion de Fernando; M2 (Kael+Maeve) pendiente de validacion visual,Alta,Baja - imagenes ya generadas,Si (regla 30 dias para meme-to-reel),,Drive: Universe Sent Me > Ideas > Memes (1Aav6tyHJPwpUPHox7Dh3upttKhkuC0Kj),"3:4 vertical, texto incrustado + marca discreta",MemesUSM,No - capa 1 libre; M2 usa pareja Kael+Maeve ya canon,Draft_Pending_Approval,Canon_Constrained,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,,,,,Revision,Pendiente_Revision,No_Publicada,2026-08-15,Canon_Restriccion_No_Bloqueante,Universe,Wilfred;Fantasma;Silvio;Kael;Maeve,Reparto coral,No determinado,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-029,Reel Pausa para ver qué piensa de ti,@char_USM_universe,Figura femenina genérica — Capa 1,Reel / Banco de cuadros,"Instagram, TikTok, YouTube Shorts","Usar scroll ultrarrápido con gancho de pausa para aumentar retención, replays y comentarios.",Formato ultrarrápido + gancho de pausa mejora watch-time y re-watch frente a un reel estándar.,Draft (pendiente de aprobación de Fernando),Media,Media,Sí (banco de cuadros),,Operations/Production/CNT029_Reel_6_Suenos_Universe_Ella.md,9:16 / 6–9s / banco de 9 cuadros,Experimento / Humor / Love / Reel,No — Capa 1; figura femenina genérica sin vínculo canon fijado,Draft_Pending_Approval,Canon_Clear_or_Unverified,,,Resolved_Project_Record,High,Operations/Production/CNT029_Reel_6_Suenos_Universe_Ella.md; Meta Graph API caption search 2026-08-14 to 2026-08-17,"Ficha de producción v2.1 verificada: banco de 9 cuadros, hook de pausa y estado Draft. La búsqueda acotada en Meta no encontró publicación coincidente en la ventana 14–17 de agosto. No se añade fila a Publication_Log hasta existir permalink o aprobación/publicación real.",CNT-030,,,,F1 base de Fernando; 06_Reel_Piernas_universo_sueno_20260814.png; 07_Reel_Pecho_universo_sueno_20260814.png; 08_Reel_Cena_romantica_universo_sueno_20260814.png; 09_Reel_Lluvia_cacao_universo_sueno_20260814.png; 10_Reel_Atardecer_sueno_20260814.png; 11_Reel_Pecho_picaresca_universo_sueno_20260814.png; 12_Reel_Atado_ribbon_universo_sueno_20260814.png; 13_Reel_Coqueto_rosa_universo_sueno_20260814.png,,F1 base de Fernando; 06_Reel_Piernas_universo_sueno_20260814.png; 07_Reel_Pecho_universo_sueno_20260814.png; 08_Reel_Cena_romantica_universo_sueno_20260814.png; 09_Reel_Lluvia_cacao_universo_sueno_20260814.png; 10_Reel_Atardecer_sueno_20260814.png; 11_Reel_Pecho_picaresca_universo_sueno_20260814.png; 12_Reel_Atado_ribbon_universo_sueno_20260814.png; 13_Reel_Coqueto_rosa_universo_sueno_20260814.png,,Revision,Pendiente_Revision,No_Publicada,2026-08-15,,Universe,Ninguno,Protagonista,No determinado,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-030,Audio y montaje del reel Pausa para ver qué piensa de ti,@char_USM_universe,CNT-029,Audio / Concepto de montaje,"Instagram, TikTok",Definir montaje ultrarrápido y selección de audio para el reel de CNT-029.,Gancho de pausa con audio de actitud mejora retención y re-watch frente al montaje lento tierno.,Draft (pendiente de aprobación de Fernando),Media,Media,No — dependiente de CNT-029,,Operations/Production/CNT030_Musica_Reel_Suenos_Universe.md,Audio + montaje 6–9s / 0.5–1s por cuadro,Experimento / Audio / Reel,No — registro dependiente de CNT-029,Draft_Pending_Approval,Canon_Clear_or_Unverified,,,Resolved_Dependent_Record,High,Operations/Production/CNT030_Musica_Reel_Suenos_Universe.md; Meta Graph API caption search 2026-08-14 to 2026-08-17,Ficha v2.0 verificada: CNT-030 define el montaje y audio dependiente de CNT-029; no es una publicación independiente. La búsqueda acotada en Meta no encontró caption o permalink coincidente. La pista original queda como fallback documentado; la dirección vigente usa audio trending y requiere aprobación.,CNT-029,,,,14_Musica_Reel_suenos_pista_original.mp3; 15_Musica_Reel_suenos_corte_20s.mp3 (fallback referenciado en la ficha de producción; no se asigna como publicación ni como asset 260),,14_Musica_Reel_suenos_pista_original.mp3; 15_Musica_Reel_suenos_corte_20s.mp3 (fallback referenciado en la ficha de producción; no se asigna como publicación ni como asset 260),,Revision,Pendiente_Revision,No_Publicada,2026-08-15,,Universe,Ninguno,Protagonista,No determinado,Bajo,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-031,Universe — ¿Qué fibra tomas para cagarla tanto?,@char_USM_universe,,Foto / Meme / Frase,Facebook; Instagram selectivo,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-15 10:00:22-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Cotidiano,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150559441072582; Drive file 1qiqa3QReNG3HuholxQsepFN9eDMZTY0c; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-031 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-01; PUB-IG-15_16-01,1qiqa3QReNG3HuholxQsepFN9eDMZTY0c,1036844829507460_122150559441072582,https://www.facebook.com/122146890051072582/posts/122150559441072582,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,1qiqa3QReNG3HuholxQsepFN9eDMZTY0c,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Universe,Ninguno,Protagonista,Relatable cotidiano,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-032,Universe — meme de reacción (260583),@char_USM_universe,,Foto / Meme / Frase,Facebook,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,No,2026-08-15 11:00:05-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Reuse,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,260583 - Universe.png,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150559591072582; Drive file 1LP2gRjhajrtuVuMp7nDtgPQnGs_UVQvc; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-032 a partir del filename exacto en Drive, la caption y el Meta Post ID. La prueba de Instagram fue publicada y eliminada manualmente; no republicar.",PUB-FB-15_16-02; PUB-IG-TEST-02,1LP2gRjhajrtuVuMp7nDtgPQnGs_UVQvc,1036844829507460_122150559591072582,https://www.facebook.com/122146890051072582/posts/122150559591072582,260583 - Universe.png,260583 - Universe.png,260583 - Universe.png,1LP2gRjhajrtuVuMp7nDtgPQnGs_UVQvc,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Universe,Ninguno,Protagonista,Relatable cotidiano;Reacción o emoji,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-033,Fantasma — ¿Vendrá primero mi boda o Jesús?,@char_USM_fantasma,,Foto / Meme / Frase,Facebook; Instagram selectivo,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-15 13:30:00-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Absurdo,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150559693072582; Drive file 1BPIL_PlooeaozXKFQASEBKBG6XS6QOsX; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-033 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-03,1BPIL_PlooeaozXKFQASEBKBG6XS6QOsX,1036844829507460_122150559693072582,https://www.facebook.com/122146890051072582/posts/122150559693072582,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,1BPIL_PlooeaozXKFQASEBKBG6XS6QOsX,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Fantasma,Ninguno,Protagonista,Relatable cotidiano,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-034,Evan + Kiri — reacción de doble sentido,@char_USM_evan,@char_USM_kiri,Foto / Meme / Frase,Facebook; Instagram solo tras revisión,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-15 19:00:00-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Pareja / Doble sentido,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,260539 - Evan+Kiri.png,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150559765072582; Drive file 1KNu65N-ND9fNJhgLQXbebMGgLvYCSSei; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-034 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-04,1KNu65N-ND9fNJhgLQXbebMGgLvYCSSei,1036844829507460_122150559765072582,https://www.facebook.com/122146890051072582/posts/122150559765072582,260539 - Evan+Kiri.png,260539 - Evan+Kiri.png,260539 - Evan+Kiri.png,1KNu65N-ND9fNJhgLQXbebMGgLvYCSSei,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Kiri,Evan,Dúo o pareja,Sexual o insinuación;Relatable cotidiano;Reacción o emoji,Alto,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-035,Universe — Soñé que era un litro de agua,@char_USM_universe,,Foto / Meme / Frase,Facebook; Instagram selectivo,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-16 10:00:00-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Cotidiano,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,2608037- Universe - soñe que era un litrro de agua.jpeg,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150559873072582; Drive file 1crVxp8PdaxYw2cy3tb5QQi_dSuxI9aYa; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-035 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-05,1crVxp8PdaxYw2cy3tb5QQi_dSuxI9aYa,1036844829507460_122150559873072582,https://www.facebook.com/122146890051072582/posts/122150559873072582,2608037- Universe - soñe que era un litrro de agua.jpeg,2608037- Universe - soñe que era un litrro de agua.jpeg,2608037- Universe - soñe que era un litrro de agua.jpeg,1crVxp8PdaxYw2cy3tb5QQi_dSuxI9aYa,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Universe,Ninguno,Protagonista,Relatable cotidiano,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-036,Universe — meme de reacción (260673),@char_USM_universe,,Foto / Meme / Frase,Facebook,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-16 13:30:00-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Reuse,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,260673 - Universe.png,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150559981072582; Drive file 1zBODSIjUwzVgHWd7K08alMucWq4RvuO5; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-036 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-06,1zBODSIjUwzVgHWd7K08alMucWq4RvuO5,1036844829507460_122150559981072582,https://www.facebook.com/122146890051072582/posts/122150559981072582,260673 - Universe.png,260673 - Universe.png,260673 - Universe.png,1zBODSIjUwzVgHWd7K08alMucWq4RvuO5,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Universe,Ninguno,Protagonista,Relatable cotidiano;Reacción o emoji,Medio,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-037,Elara + Evan — Nadie nos soporta,@char_USM_elara,@char_USM_evan,Foto / Meme / Frase,Facebook; Instagram selectivo,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-16 16:00:00-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Pareja / Relatable,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,2608036- Elara+Evan - Nadie nos soporta.jpeg,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150560083072582; Drive file 1dM9LAsLF04If5MY3azfiFkIiUeLn-rBD; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-037 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-07,1dM9LAsLF04If5MY3azfiFkIiUeLn-rBD,1036844829507460_122150560083072582,https://www.facebook.com/122146890051072582/posts/122150560083072582,2608036- Elara+Evan - Nadie nos soporta.jpeg,2608036- Elara+Evan - Nadie nos soporta.jpeg,2608036- Elara+Evan - Nadie nos soporta.jpeg,1dM9LAsLF04If5MY3azfiFkIiUeLn-rBD,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Elara,Evan,Dúo o pareja,Relatable cotidiano,Alto,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-038,Kael + Maeve — gustos salvajones,@char_USM_kael,@char_USM_maeve,Foto / Meme / Frase,Facebook; Instagram selectivo,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-16 19:00:00-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Pareja / Noche,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,2608060 - Kael+Maeve - gustos salvajones.jpeg,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150560215072582; Drive file 1FaRLXsAkB7pS67-w1pN4o6yDQcWyDh2l; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-038 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-08,1FaRLXsAkB7pS67-w1pN4o6yDQcWyDh2l,1036844829507460_122150560215072582,https://www.facebook.com/122146890051072582/posts/122150560215072582,2608060 - Kael+Maeve - gustos salvajones.jpeg,2608060 - Kael+Maeve - gustos salvajones.jpeg,2608060 - Kael+Maeve - gustos salvajones.jpeg,1FaRLXsAkB7pS67-w1pN4o6yDQcWyDh2l,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,Kael,Maeve,Dúo o pareja,Sexual o insinuación;Relatable cotidiano,Alto,Alta,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
CNT-039,Humor 4.16 — reuse con contexto sexualizado,Variable,,Foto / Meme / Frase,Facebook; Instagram solo tras revisión,Registrar y medir la pieza dentro de la prueba de frecuencia y mezcla nuevo/reuse del 15–16 de agosto.,"HB-003|HB-004|HB-005: la frecuencia, el horario y la mezcla de contenido afectan la interacción observable por publicación.",Publicado en Facebook,Alta,Baja,Sí,2026-08-16 22:00:00-06:00,2026-08-15_Calendario_15_16_Agosto.csv; Meta Graph API v26; Google Drive asset lookup,Imagen estática / meme,Humor / Meme / Reuse / Adulto,Pendiente revisión de continuidad por Fernando o Claude,Published,Canon_Clear_or_Unverified,humor4.16.png,,Resolved_Asset_Set,High,Meta Graph API post 1036844829507460_122150560383072582; Drive file 1HB7yV945tmm7ez7ugACRQyrw-Ez83O-o; calendario aprobado,"No existía un registro CNT previo que coincidiera con el asset. Se crea CNT-039 a partir del filename exacto en Drive, la caption y el Meta Post ID. ",PUB-FB-15_16-09,1HB7yV945tmm7ez7ugACRQyrw-Ez83O-o,1036844829507460_122150560383072582,https://www.facebook.com/122146890051072582/posts/122150560383072582,humor4.16.png,humor4.16.png,humor4.16.png,1HB7yV945tmm7ez7ugACRQyrw-Ez83O-o,Revision,Asset_Listo,Publicada,2026-08-15,Identidad_Reconciliada_Sin_Conflicto_Canon_Evidente,No identificado,Ninguno,No determinado,Sexual o insinuación;Relatable cotidiano,Medio,Media,Inventario + reglas taxonómicas,No sustituye canon; revisar si la confianza es Media o Baja.
